PROPERTIES_MATCHED____________________(%),ALL_HOUSEHOLD_MEMBERS_REPORTED1________________________________________(%_OF_HOUSEHOLDS),DISABILITY_STATUS_______________________________________IS_REPORTED____________________________________________(%_OF_INDIVIDUALS),REPORTED_AS_DISABLED________________________________(%_OF_INDIVIDUALS)
,,,
,,,
89.98410174880763,91.9,99.9,4.3
20.454545454545457,100.0,41.699999999999996,3.3000000000000003
91.51785714285714,71.39999999999999,94.19999999999999,10.7
81.69014084507043,100.0,100.0,0.0
73.4480505336528,99.3,94.3,6.1
82.42677824267783,52.0,82.89999999999999,6.3
55.0251256281407,99.2,98.6,11.3
53.896103896103895,99.8,100.0,0.1
86.02620087336244,96.39999999999999,98.9,5.1
85.16275548826646,38.5,0.0,0.0
40.707964601769916,99.2,100.0,6.9
61.53846153846154,97.8,99.8,1.4000000000000001
92.1259842519685,95.1,86.0,4.0
99.17355371900827,100.0,0.0,0.0
61.855670103092784,87.9,100.0,7.6
83.66863905325444,87.9,19.6,1.3
88.88888888888889,99.5,100.0,10.0
74.14187643020595,100.0,0.0,0.0
32.778489116517285,97.7,100.0,0.0
77.57847533632287,99.3,100.0,2.7
77.44360902255639,80.10000000000001,96.6,14.6
48.503937007874015,97.5,96.1,15.299999999999999
47.92270531400966,97.89999999999999,98.4,14.6
86.99918233851186,99.3,97.1,10.2
92.47967479674797,99.9,95.0,8.9
74.33751743375174,100.0,100.0,6.7
48.25986078886311,99.6,100.0,12.9
77.13178294573643,99.7,100.0,10.0
100,95.1,99.6,2.1
92.95774647887323,99.6,100.0,8.7
47.868852459016395,100.0,100.0,7.9
82.42677824267783,51.1,73.1,7.6
18.62295081967213,100.0,100.0,3.6999999999999997
56.38629283489096,25.0,73.9,4.9
44.98886414253897,91.60000000000001,53.300000000000004,8.200000000000001
84.2395044735031,86.3,100.0,11.899999999999999
82.6086956521739,99.8,100.0,12.9
67.78029445073612,68.4,100.0,0.2
58.7248322147651,99.5,99.7,10.100000000000001
64.6964856230032,100.0,0.0,0.0
92.32127096204766,99.7,100.0,12.0
92.41071428571429,99.8,100.0,4.2
98.37837837837839,99.2,99.7,19.6
72.43589743589743,99.6,100.0,8.3
82.96703296703298,65.2,85.1,6.1
88.36565096952909,85.0,96.2,0.1
74.60122699386503,100.0,92.9,10.4
Data Not Reported,,,
96.05568445475639,99.9,100.0,7.3
93.06930693069307,81.0,94.3,15.2
95.75596816976127,44.1,92.4,7.8
91.6083916083916,100.0,81.8,17.0
80.79710144927536,100.0,0.0,0.0
78.69955156950674,100.0,0.0,0.0
81.35593220338984,99.7,0.0,0.0
69.71095065630118,87.6,82.89999999999999,7.199999999999999
,,,
,,,
,,,
,,,
