TABLE_8:_DISTRIBUTION_OF_ANNUAL_HOUSEHOLD_INCOME
""
State
Alabama
Alaska
Arizona
Arkansas
California
Colorado
Connecticut
Delaware
District of Columbia
Florida
Georgia
Guam
Hawaii
Idaho
Illinois
Indiana
Iowa
Kansas
Kentucky
Louisiana
Maine
Maryland
Massachusetts
Michigan
Minnesota
Mississippi
Missouri1
Montana
N. Mariana Islands
Nebraska
Nevada1
New Hampshire
New Jersey
New Mexico
New York
North Carolina
North Dakota
Ohio
Oklahoma
Oregon
Pennsylvania
Puerto Rico
Rhode Island
South Carolina
South Dakota
Tennessee
Texas
U.S. Virgin Islands
Utah
Vermont
Virginia
Washington
West Virginia
Wisconsin
Wyoming
Total
""
HERA = Housing and Economic Recovery Act. LIHTC = low-income housing tax credit. PIS = LIHTC properties placed in service database.
""
"1 The reported income for nearly all tenants in Nevada was $1, which is not consistent with previously reported data.  Missouri reported an increase in households "
"with income of $1, from 0% in 2021 to 15.3% in 2022."
"2 Includes only households with income certified in 2021, 2022 or 2023. "
