TABLE_11:_USE_OF_RENTAL_ASSISTANCE
""
State
Alabama
Alaska
Arizona
Arkansas
California
Colorado
Connecticut
Delaware
District of Columbia
Florida
Georgia
Guam
Hawaii
Idaho
Illinois
Indiana
Iowa
Kansas
Kentucky
Louisiana
Maine
Maryland
Massachusetts
Michigan
Minnesota
Mississippi
Missouri
Montana
N. Mariana Islands
Nebraska
Nevada
New Hampshire
New Jersey
New Mexico
New York
North Carolina
North Dakota
Ohio
Oklahoma
Oregon
Pennsylvania
Puerto Rico
Rhode Island
South Carolina
South Dakota
Tennessee
Texas
U.S. Virgin Islands
Utah
Vermont
Virginia
Washington
West Virginia
Wisconsin
Wyoming
Total
""
HERA = Housing and Economic Recovery Act. LIHTC = low-income housing tax credit. PIS = LIHTC properties placed in service database. 
""
"1 Previous tabulations of LIHTC tenant data reported rental assistance based only on reported Total Rental Assistance.  This table differs by  considering reported amounts for Total Rental Assistance, Federal Rental assistance and Non-Federal Rental Assistance.  Thus, if Total Rental Assistance and Federal Rental assistance are not reported, but a posivitive amount of Non-federal Rental Assistance is reported, the unit would be counted in the "">$0"" column, rather than in the ""Not Reported"" column."
